"server=,"
Кабель для подключения. КММ 9 х 0.12 мм. Новый.,30 грн.,"Запорожье, Александровский",https://www.olx.ua/obyavlenie/kabel-dlya-podklyucheniya-kmm-9-h-0-12-mm-novyy-IDFRxNF.html#c814f8782a
"Продам материнскую плату и оперативки 2 Гб радиатор,кулер и сетевуху",300 грн.,Тростянец,https://www.olx.ua/obyavlenie/prodam-materinskuyu-platu-i-operativki-2-gb-radiator-kuler-i-setevuhu-IDKqSTt.html?sd=1#c814f8782a
Процессор Intel Core i7 8700 ( non-k ) 6 ядер 12 потоков,6 299 грн.,Прогресс,https://www.olx.ua/obyavlenie/protsessor-intel-core-i7-8700-non-k-6-yader-12-potokov-IDKlT5V.html#2d1380bf82;promoted
Бокс для внешней видеокарты Aorus Gaming Box eGPU eGFX Apple Macbook,12 000 грн.,Херсон,https://www.olx.ua/obyavlenie/boks-dlya-vneshney-videokarty-aorus-gaming-box-egpu-egfx-apple-macbook-IDKqST6.html?sd=1#2d1380bf82
AMD athlon  64x2,100 грн.,Тростянец,https://www.olx.ua/obyavlenie/amd-athlon-64x2-IDKqST0.html?sd=1#2d1380bf82
Кулер корпуса Vinga RGB fan-03,120 грн.,Полтава,https://www.olx.ua/obyavlenie/kuler-korpusa-vinga-rgb-fan-03-IDKqSSh.html?sd=1#2d1380bf82
"Подставка под монитор, телевизор",150 грн.,"Житомир, Чулочная фабрика",https://www.olx.ua/obyavlenie/podstavka-pod-monitor-televizor-IDB4Qz9.html#2d1380bf82
Тв - 3 по ЧАСТЯМ,1 000 грн.,"Житомир, Чулочная фабрика",https://www.olx.ua/obyavlenie/tv-3-po-chastyam-IDEU4Wc.html?sd=1#2d1380bf82
Память Kingston 8 GB (2x4GB) DDR3 1600 MHz (KHX1600C9D3B1K2/8GX),1 500 грн.,Каменское,https://www.olx.ua/obyavlenie/pamyat-kingston-8-gb-2x4gb-ddr3-1600-mhz-khx1600c9d3b1k2-8gx-IDDOko8.html?sd=1#2d1380bf82
видеокарта GV-R775OC-1GI под ремонт,110 грн.,"Донецк, Кировский",https://www.olx.ua/obyavlenie/videokarta-gv-r775oc-1gi-pod-remont-IDJxGXA.html?sd=1#2d1380bf82
Raid LSI 9211-8i HBA ZFS mini sas sff 8087 free NAS BSD контроллер,1 373 грн.,Степная,https://www.olx.ua/obyavlenie/raid-lsi-9211-8i-hba-zfs-mini-sas-sff-8087-free-nas-bsd-kontroller-IDFdJq1.html?sd=1#2d1380bf82
Кабель для монитора,50 грн.,Тростянец,https://www.olx.ua/obyavlenie/kabel-dlya-monitora-IDKqSRv.html?sd=1#2d1380bf82
PCI контроллер интерфейса ST-LAB I-142,50 грн.,Ивано-Франковск,https://www.olx.ua/obyavlenie/pci-kontroller-interfeysa-st-lab-i-142-IDDMJcU.html?sd=1#2d1380bf82
Система охлаждение ЦП сокет AM3 4пин,100 грн.,Ивано-Франковск,https://www.olx.ua/obyavlenie/sistema-ohlazhdenie-tsp-soket-am3-4pin-IDISPpk.html?sd=1#2d1380bf82
Cd-Dvd rom ASUS,50 грн.,Ивано-Франковск,https://www.olx.ua/obyavlenie/cd-dvd-rom-asus-IDIIeRO.html?sd=1#2d1380bf82
Продам Процессор Intel Core 2 Quad Q6600 2.4GHz/1066MHz/8MB,500 грн.,"Луганск, Жовтневый",https://www.olx.ua/obyavlenie/prodam-protsessor-intel-core-2-quad-q6600-2-4ghz-1066mhz-8mb-IDItIrf.html?sd=1#2d1380bf82
Відеокарта XFX RX580 8GB,8 000 грн.,"Львов, Шевченковский",https://www.olx.ua/obyavlenie/vdeokarta-xfx-rx580-8gb-IDKqSKc.html?sd=1#2d1380bf82
"Компьютерный блок питания 350w Cooler master RS 380 PMSR ATX 12V , 7шт",250 грн.,Бобровка,https://www.olx.ua/obyavlenie/kompyuternyy-blok-pitaniya-350w-cooler-master-rs-380-pmsr-atx-12v-7sht-IDCh6kN.html?sd=1#2d1380bf82
Блок питания ATX 350 PNF FSP (350w) в наличии 2 шт.,250 грн.,Бобровка,https://www.olx.ua/obyavlenie/blok-pitaniya-atx-350-pnf-fsp-350w-v-nalichii-2-sht-IDCdb1q.html?sd=1#2d1380bf82
Куллер intel интел амд и другие. Алюминий,40 грн.,"Киев, Оболонский",https://www.olx.ua/obyavlenie/kuller-intel-intel-amd-i-drugie-alyuminiy-IDKqife.html?sd=1#2d1380bf82
"Biostar NF520-A2G+ Athlon X2/4600+/4Gb/DDR2, sAM2",850 грн.,Чернигов,https://www.olx.ua/obyavlenie/biostar-nf520-a2g-athlon-x2-4600-4gb-ddr2-sam2-IDKbGXX.html?sd=1#2d1380bf82
Кулер на компьютер 12v 0.18a светящийся,100 грн.,Лисичанск,https://www.olx.ua/obyavlenie/kuler-na-kompyuter-12v-0-18a-svetyaschiysya-IDDT9et.html?sd=1#2d1380bf82
Материнская плата Asus F1A55-M LX R2.0,700 грн.,Изяслав,https://www.olx.ua/obyavlenie/materinskaya-plata-asus-f1a55-m-lx-r2-0-IDK9LDC.html?sd=1#2d1380bf82
Продам серверную память,400 грн.,"Днепр, Новокодакский",https://www.olx.ua/obyavlenie/prodam-servernuyu-pamyat-IDJ9G71.html?sd=1#2d1380bf82
Игровая видеокарта HD 6870 1GB GDDR5 256bit | Полностью рабочая!,850 грн.,"Харьков, Шевченковский",https://www.olx.ua/obyavlenie/igrovaya-videokarta-hd-6870-1gb-gddr5-256bit-polnostyu-rabochaya-IDKqSMq.html?sd=1#2d1380bf82
Комплектующие компьютера,3 000 грн.,Каменское,https://www.olx.ua/obyavlenie/komplektuyuschie-kompyutera-IDJbQ4E.html?sd=1#2d1380bf82
Evga G2 850W ( P/N 220-G2-0850),4 000 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/evga-g2-850w-p-n-220-g2-0850-IDpO1QU.html?sd=1#2d1380bf82
Asus P9X79Pro s2011 новенька,7 500 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/asus-p9x79pro-s2011-novenka-IDIDzBB.html?sd=1#2d1380bf82
Материнская плата asus P61 PLUS + i5 2400 + 8gb 1333 мГц,2 300 грн.,Измаил,https://www.olx.ua/obyavlenie/materinskaya-plata-asus-p61-plus-i5-2400-8gb-1333-mgts-IDKkKSb.html?sd=1#2d1380bf82;promoted
Noctua NH-U12S,1 600 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/noctua-nh-u12s-IDHxeOm.html?sd=1#2d1380bf82
